                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.7751,                0.94164,                 1.2497,                0.84247,                0.81974,                0.88119,                0.45258,                 1.6591,                 0.9144,                  1.227,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8106,                0.93912,                 1.2266,                0.84513,                0.77697,                0.84153,                0.34922,                 1.9311,                 1.0169,                 1.2974,               0.001307,               0.001307,               0.001307
                     38,                 1.7218,                0.91125,                 1.2352,                0.87131,                0.84785,                0.89718,                0.37749,                 1.9134,                 1.1124,                  1.267,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7248,                0.89137,                 1.1791,                0.91638,                0.88398,                 0.9415,                0.51789,                 1.5534,                0.83115,                  1.153,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7309,                0.89103,                 1.2177,                0.85627,                0.80202,                0.86959,                0.40907,                 1.7922,                0.88792,                 1.2464,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7327,                0.87988,                 1.1994,                0.87451,                 0.8027,                0.88125,                0.45053,                 1.6682,                0.84764,                 1.2142,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.677,                0.86228,                 1.1829,                0.91643,                0.87452,                0.94133,                0.51992,                 1.5563,                0.82445,                 1.1366,               0.001208,               0.001208,               0.001208
                     43,                 1.7381,                0.89306,                 1.1975,                0.86532,                0.86764,                0.90603,                0.47288,                 1.5571,                 0.8526,                 1.1508,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6655,                0.84966,                 1.1778,                0.85691,                0.83986,                0.88887,                0.41862,                 1.6766,                0.88743,                 1.1981,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6731,                0.85774,                 1.1981,                0.85858,                0.84296,                0.90456,                0.47512,                 1.5754,                0.85979,                 1.1702,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.7067,                0.83205,                  1.152,                0.89294,                 0.8729,                0.92167,                0.44523,                 1.7296,                0.85316,                 1.2066,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.7264,                0.86262,                 1.1937,                0.89387,                0.87993,                0.92714,                0.47656,                 1.5744,                0.81697,                 1.1599,               0.001109,               0.001109,               0.001109
                     48,                 1.6734,                0.82562,                 1.1519,                0.87014,                0.83934,                0.89974,                  0.449,                 1.6156,                0.85342,                 1.1728,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6364,                0.82312,                 1.1504,                0.91302,                0.86221,                0.92916,                0.49668,                 1.5742,                0.80198,                 1.1523,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6655,                0.83268,                 1.1392,                0.84948,                0.81485,                0.87629,                0.41879,                 1.7148,                0.93386,                 1.1872,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.651,                0.79256,                 1.1311,                0.84872,                0.84333,                 0.8739,                0.38645,                 1.8029,                0.93999,                 1.2147,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6627,                0.80595,                  1.178,                0.86162,                 0.8396,                0.88819,                0.44351,                 1.6265,                0.87662,                 1.1804,                0.00101,                0.00101,                0.00101
                     53,                 1.6265,                0.78253,                   1.14,                0.89199,                0.85793,                0.91287,                0.48095,                 1.5663,                0.81997,                 1.1603,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6377,                0.79958,                 1.1194,                0.92186,                0.90345,                0.94617,                0.50738,                 1.5309,                0.75265,                  1.133,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6727,                0.81858,                 1.1206,                0.85835,                0.88512,                0.89157,                0.46584,                 1.5024,                0.81025,                 1.1255,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.633,                0.81267,                 1.1335,                 0.9246,                0.90668,                0.95343,                0.53828,                 1.5119,                0.74343,                 1.1128,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6163,                 0.7832,                 1.1101,                0.94114,                 0.9087,                 0.9591,                0.54807,                 1.4719,                0.71719,                 1.0974,               0.000911,               0.000911,               0.000911
                     58,                 1.6484,                0.78515,                 1.1215,                 0.9347,                0.90804,                0.95274,                0.51377,                 1.5582,                0.73618,                 1.1224,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5973,                0.75722,                 1.1196,                0.93742,                0.92331,                0.96241,                0.52912,                 1.5211,                0.72773,                 1.1053,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6437,                0.77558,                 1.1119,                0.94009,                0.91842,                0.96032,                0.54847,                 1.4723,                 0.7342,                 1.0952,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6332,                0.78713,                 1.1611,                0.94177,                0.91353,                0.95793,                0.54491,                 1.4829,                0.72704,                  1.099,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6249,                0.77548,                 1.1404,                0.91855,                0.90275,                0.94964,                0.52489,                 1.5391,                0.72846,                 1.1194,               0.000812,               0.000812,               0.000812
                     63,                 1.6314,                0.78311,                  1.133,                0.90449,                0.87993,                 0.9315,                0.49393,                 1.5385,                0.74432,                 1.1193,              0.0007922,              0.0007922,              0.0007922
